Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
4F,1,2X Diluted,6,19/11/2019,15,36
4G,0,2X Diluted,7,19/11/2019,15,37
4H,0,2X Diluted,8,19/11/2019,15,38
4I,0,2X Diluted,9,19/11/2019,15,39
4J,1,2X Diluted,10,19/11/2019,15,40
1A,2,Control,1,20/11/2019,16,1
1B,3,Control,2,20/11/2019,16,2
1C,5,Control,3,20/11/2019,16,3
1D,4,Control,4,20/11/2019,16,4
1E,5,Control,5,20/11/2019,16,5
1F,4,Control,6,20/11/2019,16,6
1G,3,Control,7,20/11/2019,16,7
1H,4,Control,8,20/11/2019,16,8
1I,3,Control,9,20/11/2019,16,9
1J,3,Control,10,20/11/2019,16,10
2A,1,Sterile,1,20/11/2019,16,11
2B,1,Sterile,2,20/11/2019,16,12
2C,1,Sterile,3,20/11/2019,16,13
2D,1,Sterile,4,20/11/2019,16,14
2E,1,Sterile,5,20/11/2019,16,15
2F,1,Sterile,6,20/11/2019,16,16
2G,1,Sterile,7,20/11/2019,16,17
2H,2,Sterile,8,20/11/2019,16,18
2I,1,Sterile,9,20/11/2019,16,19
2J,1,Sterile,10,20/11/2019,16,20
3A,1,Undiluted,1,20/11/2019,16,21
3B,1,Undiluted,2,20/11/2019,16,22
3C,2,Undiluted,3,20/11/2019,16,23
3D,1,Undiluted,4,20/11/2019,16,24
3E,1,Undiluted,5,20/11/2019,16,25
3F,1,Undiluted,6,20/11/2019,16,26
3G,1,Undiluted,7,20/11/2019,16,27
3H,1,Undiluted,8,20/11/2019,16,28
3I,1,Undiluted,9,20/11/2019,16,29
3J,2,Undiluted,10,20/11/2019,16,30
4A,1,2X Diluted,1,20/11/2019,16,31
4B,1,2X Diluted,2,20/11/2019,16,32
4C,1,2X Diluted,3,20/11/2019,16,33
4D,5,2X Diluted,4,20/11/2019,16,34
4E,1,2X Diluted,5,20/11/2019,16,35
4F,1,2X Diluted,6,20/11/2019,16,36
4G,1,2X Diluted,7,20/11/2019,16,37
4H,1,2X Diluted,8,20/11/2019,16,38
4I,1,2X Diluted,9,20/11/2019,16,39
4J,2,2X Diluted,10,20/11/2019,16,40
1A,3,Control,1,21/11/2019,17,1
1B,2,Control,2,21/11/2019,17,2
1C,5,Control,3,21/11/2019,17,3
1D,8,Control,4,21/11/2019,17,4
1E,3,Control,5,21/11/2019,17,5
1F,10,Control,6,21/11/2019,17,6
1G,2,Control,7,21/11/2019,17,7
1H,2,Control,8,21/11/2019,17,8
1I,1,Control,9,21/11/2019,17,9
1J,7,Control,10,21/11/2019,17,10
2A,0,Sterile,1,21/11/2019,17,11
2B,1,Sterile,2,21/11/2019,17,12
2C,0,Sterile,3,21/11/2019,17,13
2D,1,Sterile,4,21/11/2019,17,14
2E,0,Sterile,5,21/11/2019,17,15
2F,0,Sterile,6,21/11/2019,17,16
2G,0,Sterile,7,21/11/2019,17,17
2H,0,Sterile,8,21/11/2019,17,18
2I,NA,Sterile,9,21/11/2019,17,19
2J,0,Sterile,10,21/11/2019,17,20
3A,NA,Undiluted,1,21/11/2019,17,21
3B,0,Undiluted,2,21/11/2019,17,22
3C,0,Undiluted,3,21/11/2019,17,23
3D,0,Undiluted,4,21/11/2019,17,24
3E,0,Undiluted,5,21/11/2019,17,25
3F,0,Undiluted,6,21/11/2019,17,26
3G,0,Undiluted,7,21/11/2019,17,27
3H,0,Undiluted,8,21/11/2019,17,28
3I,0,Undiluted,9,21/11/2019,17,29
3J,0,Undiluted,10,21/11/2019,17,30
4A,0,2X Diluted,1,21/11/2019,17,31
4B,0,2X Diluted,2,21/11/2019,17,32
4C,0,2X Diluted,3,21/11/2019,17,33
4D,0,2X Diluted,4,21/11/2019,17,34
4E,2,2X Diluted,5,21/11/2019,17,35
4F,0,2X Diluted,6,21/11/2019,17,36
4G,0,2X Diluted,7,21/11/2019,17,37
4H,0,2X Diluted,8,21/11/2019,17,38
4I,0,2X Diluted,9,21/11/2019,17,39
4J,0,2X Diluted,10,21/11/2019,17,40
1A,2,Control,1,22/11/2019,18,1
1B,2,Control,2,22/11/2019,18,2
1C,7,Control,3,22/11/2019,18,3
1D,8,Control,4,22/11/2019,18,4
1E,2,Control,5,22/11/2019,18,5
1F,6,Control,6,22/11/2019,18,6
1G,1,Control,7,22/11/2019,18,7
1H,2,Control,8,22/11/2019,18,8
1I,1,Control,9,22/11/2019,18,9
1J,8,Control,10,22/11/2019,18,10
2A,0,Sterile,1,22/11/2019,18,11
2B,0,Sterile,2,22/11/2019,18,12
2C,0,Sterile,3,22/11/2019,18,13
2D,1,Sterile,4,22/11/2019,18,14
2E,0,Sterile,5,22/11/2019,18,15
2F,0,Sterile,6,22/11/2019,18,16
2G,0,Sterile,7,22/11/2019,18,17
2H,0,Sterile,8,22/11/2019,18,18
2I,NA,Sterile,9,22/11/2019,18,19
2J,0,Sterile,10,22/11/2019,18,20
3A,NA,Undiluted,1,22/11/2019,18,21
3B,0,Undiluted,2,22/11/2019,18,22
3C,0,Undiluted,3,22/11/2019,18,23
3D,0,Undiluted,4,22/11/2019,18,24
3E,0,Undiluted,5,22/11/2019,18,25
3F,0,Undiluted,6,22/11/2019,18,26
3G,0,Undiluted,7,22/11/2019,18,27
3H,0,Undiluted,8,22/11/2019,18,28
3I,0,Undiluted,9,22/11/2019,18,29
3J,0,Undiluted,10,22/11/2019,18,30
4A,0,2X Diluted,1,22/11/2019,18,31
4B,0,2X Diluted,2,22/11/2019,18,32
4C,1,2X Diluted,3,22/11/2019,18,33
4D,1,2X Diluted,4,22/11/2019,18,34
4E,1,2X Diluted,5,22/11/2019,18,35
4F,0,2X Diluted,6,22/11/2019,18,36
4G,0,2X Diluted,7,22/11/2019,18,37
4H,0,2X Diluted,8,22/11/2019,18,38
4I,0,2X Diluted,9,22/11/2019,18,39
4J,0,2X Diluted,10,22/11/2019,18,40
1A,4,Control,1,23/11/2019,19,1
1B,5,Control,2,23/11/2019,19,2
1C,8,Control,3,23/11/2019,19,3
1D,9,Control,4,23/11/2019,19,4
1E,10,Control,5,23/11/2019,19,5
1F,8,Control,6,23/11/2019,19,6
1G,6,Control,7,23/11/2019,19,7
1H,5,Control,8,23/11/2019,19,8
1I,4,Control,9,23/11/2019,19,9
1J,9,Control,10,23/11/2019,19,10
2A,1,Sterile,1,23/11/2019,19,11
2B,0,Sterile,2,23/11/2019,19,12
2C,0,Sterile,3,23/11/2019,19,13
2D,0,Sterile,4,23/11/2019,19,14
2E,1,Sterile,5,23/11/2019,19,15
2F,0,Sterile,6,23/11/2019,19,16
2G,0,Sterile,7,23/11/2019,19,17
2H,0,Sterile,8,23/11/2019,19,18
2I,NA,Sterile,9,23/11/2019,19,19
2J,0,Sterile,10,23/11/2019,19,20
3A,NA,Undiluted,1,23/11/2019,19,21
3B,0,Undiluted,2,23/11/2019,19,22
3C,0,Undiluted,3,23/11/2019,19,23
3D,0,Undiluted,4,23/11/2019,19,24
3E,0,Undiluted,5,23/11/2019,19,25
3F,0,Undiluted,6,23/11/2019,19,26
3G,0,Undiluted,7,23/11/2019,19,27
3H,0,Undiluted,8,23/11/2019,19,28
3I,1,Undiluted,9,23/11/2019,19,29
3J,0,Undiluted,10,23/11/2019,19,30
4A,1,2X Diluted,1,23/11/2019,19,31
4B,1,2X Diluted,2,23/11/2019,19,32
4C,0,2X Diluted,3,23/11/2019,19,33
4D,0,2X Diluted,4,23/11/2019,19,34
4E,0,2X Diluted,5,23/11/2019,19,35
4F,0,2X Diluted,6,23/11/2019,19,36
4G,0,2X Diluted,7,23/11/2019,19,37
4H,0,2X Diluted,8,23/11/2019,19,38
4I,0,2X Diluted,9,23/11/2019,19,39
4J,0,2X Diluted,10,23/11/2019,19,40
1A,7,Control,1,24/11/2019,20,1
1B,8,Control,2,24/11/2019,20,2
1C,9,Control,3,24/11/2019,20,3
1D,11,Control,4,24/11/2019,20,4
1E,8,Control,5,24/11/2019,20,5
1F,9,Control,6,24/11/2019,20,6
1G,7,Control,7,24/11/2019,20,7
1H,6,Control,8,24/11/2019,20,8
1I,5,Control,9,24/11/2019,20,9
1J,11,Control,10,24/11/2019,20,10
2A,0,Sterile,1,24/11/2019,20,11
2B,1,Sterile,2,24/11/2019,20,12
2C,0,Sterile,3,24/11/2019,20,13
2D,0,Sterile,4,24/11/2019,20,14
2E,1,Sterile,5,24/11/2019,20,15
2F,0,Sterile,6,24/11/2019,20,16
2G,0,Sterile,7,24/11/2019,20,17
2H,1,Sterile,8,24/11/2019,20,18
2I,NA,Sterile,9,24/11/2019,20,19
2J,0,Sterile,10,24/11/2019,20,20
3A,NA,Undiluted,1,24/11/2019,20,21
3B,0,Undiluted,2,24/11/2019,20,22
3C,0,Undiluted,3,24/11/2019,20,23
3D,0,Undiluted,4,24/11/2019,20,24
3E,0,Undiluted,5,24/11/2019,20,25
3F,0,Undiluted,6,24/11/2019,20,26
3G,0,Undiluted,7,24/11/2019,20,27
3H,0,Undiluted,8,24/11/2019,20,28
3I,0,Undiluted,9,24/11/2019,20,29
3J,0,Undiluted,10,24/11/2019,20,30
4A,0,2X Diluted,1,24/11/2019,20,31
4B,1,2X Diluted,2,24/11/2019,20,32
4C,0,2X Diluted,3,24/11/2019,20,33
4D,0,2X Diluted,4,24/11/2019,20,34
4E,0,2X Diluted,5,24/11/2019,20,35
4F,0,2X Diluted,6,24/11/2019,20,36
4G,0,2X Diluted,7,24/11/2019,20,37
4H,0,2X Diluted,8,24/11/2019,20,38
4I,0,2X Diluted,9,24/11/2019,20,39
4J,0,2X Diluted,10,24/11/2019,20,40
1A,5,Control,1,25/11/2019,21,1
1B,4,Control,2,25/11/2019,21,2
1C,3,Control,3,25/11/2019,21,3
1D,7,Control,4,25/11/2019,21,4
1E,5,Control,5,25/11/2019,21,5
1F,11,Control,6,25/11/2019,21,6
1G,8,Control,7,25/11/2019,21,7
1H,7,Control,8,25/11/2019,21,8
1I,4,Control,9,25/11/2019,21,9
1J,8,Control,10,25/11/2019,21,10
2A,2,Sterile,1,25/11/2019,21,11
2B,0,Sterile,2,25/11/2019,21,12
2C,0,Sterile,3,25/11/2019,21,13
2D,0,Sterile,4,25/11/2019,21,14
2E,1,Sterile,5,25/11/2019,21,15
2F,0,Sterile,6,25/11/2019,21,16
2G,0,Sterile,7,25/11/2019,21,17
2H,1,Sterile,8,25/11/2019,21,18
2I,NA,Sterile,9,25/11/2019,21,19
2J,0,Sterile,10,25/11/2019,21,20
3A,NA,Undiluted,1,25/11/2019,21,21
3B,0,Undiluted,2,25/11/2019,21,22
3C,0,Undiluted,3,25/11/2019,21,23
3D,0,Undiluted,4,25/11/2019,21,24
3E,0,Undiluted,5,25/11/2019,21,25
3F,0,Undiluted,6,25/11/2019,21,26
3G,0,Undiluted,7,25/11/2019,21,27
3H,0,Undiluted,8,25/11/2019,21,28
3I,1,Undiluted,9,25/11/2019,21,29
3J,0,Undiluted,10,25/11/2019,21,30
4A,1,2X Diluted,1,25/11/2019,21,31
4B,0,2X Diluted,2,25/11/2019,21,32
4C,0,2X Diluted,3,25/11/2019,21,33
4D,0,2X Diluted,4,25/11/2019,21,34
4E,0,2X Diluted,5,25/11/2019,21,35
4F,0,2X Diluted,6,25/11/2019,21,36
4G,0,2X Diluted,7,25/11/2019,21,37
4H,0,2X Diluted,8,25/11/2019,21,38
4I,0,2X Diluted,9,25/11/2019,21,39
4J,0,2X Diluted,10,25/11/2019,21,40
1A,4,Control,1,26/11/2019,22,1
1B,6,Control,2,26/11/2019,22,2
1C,3,Control,3,26/11/2019,22,3
1D,2,Control,4,26/11/2019,22,4
1E,3,Control,5,26/11/2019,22,5
1F,7,Control,6,26/11/2019,22,6
1G,2,Control,7,26/11/2019,22,7
1H,3,Control,8,26/11/2019,22,8
1I,2,Control,9,26/11/2019,22,9
1J,7,Control,10,26/11/2019,22,10
2A,0,Sterile,1,26/11/2019,22,11
2B,1,Sterile,2,26/11/2019,22,12
2C,0,Sterile,3,26/11/2019,22,13
2D,2,Sterile,4,26/11/2019,22,14
2E,1,Sterile,5,26/11/2019,22,15
2F,0,Sterile,6,26/11/2019,22,16
2G,2,Sterile,7,26/11/2019,22,17
2H,1,Sterile,8,26/11/2019,22,18
2I,NA,Sterile,9,26/11/2019,22,19
2J,0,Sterile,10,26/11/2019,22,20
3A,NA,Undiluted,1,26/11/2019,22,21
3B,0,Undiluted,2,26/11/2019,22,22
3C,0,Undiluted,3,26/11/2019,22,23
3D,0,Undiluted,4,26/11/2019,22,24
3E,0,Undiluted,5,26/11/2019,22,25
3F,1,Undiluted,6,26/11/2019,22,26
3G,0,Undiluted,7,26/11/2019,22,27
3H,0,Undiluted,8,26/11/2019,22,28
3I,1,Undiluted,9,26/11/2019,22,29
3J,1,Undiluted,10,26/11/2019,22,30
4A,2,2X Diluted,1,26/11/2019,22,31
4B,2,2X Diluted,2,26/11/2019,22,32
4C,1,2X Diluted,3,26/11/2019,22,33
4D,0,2X Diluted,4,26/11/2019,22,34
4E,1,2X Diluted,5,26/11/2019,22,35
4F,0,2X Diluted,6,26/11/2019,22,36
4G,0,2X Diluted,7,26/11/2019,22,37
4H,0,2X Diluted,8,26/11/2019,22,38
4I,0,2X Diluted,9,26/11/2019,22,39
4J,0,2X Diluted,10,26/11/2019,22,40
1A,5,Control,1,27/11/2019,23,1
1B,3,Control,2,27/11/2019,23,2
1C,3,Control,3,27/11/2019,23,3
1D,5,Control,4,27/11/2019,23,4
1E,2,Control,5,27/11/2019,23,5
1F,5,Control,6,27/11/2019,23,6
1G,3,Control,7,27/11/2019,23,7
1H,2,Control,8,27/11/2019,23,8
1I,3,Control,9,27/11/2019,23,9
1J,6,Control,10,27/11/2019,23,10
2A,2,Sterile,1,27/11/2019,23,11
2B,1,Sterile,2,27/11/2019,23,12
2C,0,Sterile,3,27/11/2019,23,13
2D,1,Sterile,4,27/11/2019,23,14
2E,1,Sterile,5,27/11/2019,23,15
2F,0,Sterile,6,27/11/2019,23,16
2G,1,Sterile,7,27/11/2019,23,17
2H,1,Sterile,8,27/11/2019,23,18
2I,NA,Sterile,9,27/11/2019,23,19
2J,0,Sterile,10,27/11/2019,23,20
3A,NA,Undiluted,1,27/11/2019,23,21
3B,0,Undiluted,2,27/11/2019,23,22
3C,1,Undiluted,3,27/11/2019,23,23
3D,1,Undiluted,4,27/11/2019,23,24
3E,0,Undiluted,5,27/11/2019,23,25
3F,0,Undiluted,6,27/11/2019,23,26
3G,0,Undiluted,7,27/11/2019,23,27
3H,0,Undiluted,8,27/11/2019,23,28
3I,1,Undiluted,9,27/11/2019,23,29
3J,1,Undiluted,10,27/11/2019,23,30
4A,1,2X Diluted,1,27/11/2019,23,31
4B,1,2X Diluted,2,27/11/2019,23,32
4C,1,2X Diluted,3,27/11/2019,23,33
4D,1,2X Diluted,4,27/11/2019,23,34
4E,0,2X Diluted,5,27/11/2019,23,35
4F,0,2X Diluted,6,27/11/2019,23,36
4G,0,2X Diluted,7,27/11/2019,23,37
4H,0,2X Diluted,8,27/11/2019,23,38
4I,0,2X Diluted,9,27/11/2019,23,39
4J,1,2X Diluted,10,27/11/2019,23,40
1A,3,Control,1,28/11/2019,24,1
1B,4,Control,2,28/11/2019,24,2
1C,4,Control,3,28/11/2019,24,3
1D,6,Control,4,28/11/2019,24,4
1E,5,Control,5,28/11/2019,24,5
1F,6,Control,6,28/11/2019,24,6
1G,5,Control,7,28/11/2019,24,7
1H,3,Control,8,28/11/2019,24,8
1I,2,Control,9,28/11/2019,24,9
1J,4,Control,10,28/11/2019,24,10
2A,0,Sterile,1,28/11/2019,24,11
2B,1,Sterile,2,28/11/2019,24,12
2C,0,Sterile,3,28/11/2019,24,13
2D,2,Sterile,4,28/11/2019,24,14
2E,0,Sterile,5,28/11/2019,24,15
2F,0,Sterile,6,28/11/2019,24,16
2G,0,Sterile,7,28/11/2019,24,17
2H,0,Sterile,8,28/11/2019,24,18
2I,NA,Sterile,9,28/11/2019,24,19
2J,0,Sterile,10,28/11/2019,24,20
3A,NA,Undiluted,1,28/11/2019,24,21
3B,0,Undiluted,2,28/11/2019,24,22
3C,0,Undiluted,3,28/11/2019,24,23
3D,0,Undiluted,4,28/11/2019,24,24
3E,0,Undiluted,5,28/11/2019,24,25
3F,0,Undiluted,6,28/11/2019,24,26
3G,0,Undiluted,7,28/11/2019,24,27
3H,1,Undiluted,8,28/11/2019,24,28
3I,0,Undiluted,9,28/11/2019,24,29
3J,0,Undiluted,10,28/11/2019,24,30
4A,0,2X Diluted,1,28/11/2019,24,31
4B,0,2X Diluted,2,28/11/2019,24,32
4C,1,2X Diluted,3,28/11/2019,24,33
4D,0,2X Diluted,4,28/11/2019,24,34
4E,0,2X Diluted,5,28/11/2019,24,35
4F,1,2X Diluted,6,28/11/2019,24,36
4G,0,2X Diluted,7,28/11/2019,24,37
4H,0,2X Diluted,8,28/11/2019,24,38
4I,0,2X Diluted,9,28/11/2019,24,39
4J,0,2X Diluted,10,28/11/2019,24,40
1A,5,Control,1,29/11/2019,25,1
1B,3,Control,2,29/11/2019,25,2
1C,6,Control,3,29/11/2019,25,3
1D,11,Control,4,29/11/2019,25,4
1E,3,Control,5,29/11/2019,25,5
1F,17,Control,6,29/11/2019,25,6
1G,13,Control,7,29/11/2019,25,7
1H,4,Control,8,29/11/2019,25,8
1I,5,Control,9,29/11/2019,25,9
1J,13,Control,10,29/11/2019,25,10
2A,0,Sterile,1,29/11/2019,25,11
2B,1,Sterile,2,29/11/2019,25,12
2C,0,Sterile,3,29/11/2019,25,13
2D,2,Sterile,4,29/11/2019,25,14
2E,0,Sterile,5,29/11/2019,25,15
2F,1,Sterile,6,29/11/2019,25,16
2G,0,Sterile,7,29/11/2019,25,17
2H,0,Sterile,8,29/11/2019,25,18
2I,NA,Sterile,9,29/11/2019,25,19
2J,0,Sterile,10,29/11/2019,25,20
3A,NA,Undiluted,1,29/11/2019,25,21
3B,0,Undiluted,2,29/11/2019,25,22
3C,0,Undiluted,3,29/11/2019,25,23
3D,0,Undiluted,4,29/11/2019,25,24
3E,0,Undiluted,5,29/11/2019,25,25
3F,0,Undiluted,6,29/11/2019,25,26
3G,0,Undiluted,7,29/11/2019,25,27
3H,0,Undiluted,8,29/11/2019,25,28
3I,1,Undiluted,9,29/11/2019,25,29
3J,1,Undiluted,10,29/11/2019,25,30
4A,2,2X Diluted,1,29/11/2019,25,31
4B,0,2X Diluted,2,29/11/2019,25,32
4C,1,2X Diluted,3,29/11/2019,25,33
4D,2,2X Diluted,4,29/11/2019,25,34
4E,0,2X Diluted,5,29/11/2019,25,35
4F,0,2X Diluted,6,29/11/2019,25,36
4G,0,2X Diluted,7,29/11/2019,25,37
4H,0,2X Diluted,8,29/11/2019,25,38
4I,0,2X Diluted,9,29/11/2019,25,39
4J,0,2X Diluted,10,29/11/2019,25,40
1A,6,Control,1,30/11/2019,26,1
1B,5,Control,2,30/11/2019,26,2
1C,4,Control,3,30/11/2019,26,3
1D,6,Control,4,30/11/2019,26,4
1E,4,Control,5,30/11/2019,26,5
1F,10,Control,6,30/11/2019,26,6
1G,10,Control,7,30/11/2019,26,7
1H,6,Control,8,30/11/2019,26,8
1I,4,Control,9,30/11/2019,26,9
1J,8,Control,10,30/11/2019,26,10
2A,1,Sterile,1,30/11/2019,26,11
2B,1,Sterile,2,30/11/2019,26,12
2C,0,Sterile,3,30/11/2019,26,13
2D,1,Sterile,4,30/11/2019,26,14
2E,0,Sterile,5,30/11/2019,26,15
2F,0,Sterile,6,30/11/2019,26,16
2G,0,Sterile,7,30/11/2019,26,17
2H,0,Sterile,8,30/11/2019,26,18
2I,NA,Sterile,9,30/11/2019,26,19
2J,0,Sterile,10,30/11/2019,26,20
3A,NA,Undiluted,1,30/11/2019,26,21
3B,0,Undiluted,2,30/11/2019,26,22
3C,0,Undiluted,3,30/11/2019,26,23
3D,1,Undiluted,4,30/11/2019,26,24
3E,0,Undiluted,5,30/11/2019,26,25
3F,0,Undiluted,6,30/11/2019,26,26
3G,0,Undiluted,7,30/11/2019,26,27
3H,0,Undiluted,8,30/11/2019,26,28
3I,0,Undiluted,9,30/11/2019,26,29
3J,0,Undiluted,10,30/11/2019,26,30
4A,1,2X Diluted,1,30/11/2019,26,31
4B,0,2X Diluted,2,30/11/2019,26,32
4C,0,2X Diluted,3,30/11/2019,26,33
4D,1,2X Diluted,4,30/11/2019,26,34
4E,0,2X Diluted,5,30/11/2019,26,35
4F,0,2X Diluted,6,30/11/2019,26,36
4G,1,2X Diluted,7,30/11/2019,26,37
4H,0,2X Diluted,8,30/11/2019,26,38
4I,0,2X Diluted,9,30/11/2019,26,39
4J,0,2X Diluted,10,30/11/2019,26,40
1A,7,Control,1,01/12/2019,27,1
1B,4,Control,2,01/12/2019,27,2
1C,5,Control,3,01/12/2019,27,3
1D,8,Control,4,01/12/2019,27,4
1E,4,Control,5,01/12/2019,27,5
1F,13,Control,6,01/12/2019,27,6
1G,5,Control,7,01/12/2019,27,7
1H,3,Control,8,01/12/2019,27,8
1I,3,Control,9,01/12/2019,27,9
1J,10,Control,10,01/12/2019,27,10
2A,0,Sterile,1,01/12/2019,27,11
2B,1,Sterile,2,01/12/2019,27,12
2C,1,Sterile,3,01/12/2019,27,13
2D,1,Sterile,4,01/12/2019,27,14
2E,0,Sterile,5,01/12/2019,27,15
2F,0,Sterile,6,01/12/2019,27,16
2G,0,Sterile,7,01/12/2019,27,17
2H,1,Sterile,8,01/12/2019,27,18
2I,NA,Sterile,9,01/12/2019,27,19
2J,0,Sterile,10,01/12/2019,27,20
3A,NA,Undiluted,1,01/12/2019,27,21
3B,0,Undiluted,2,01/12/2019,27,22
3C,0,Undiluted,3,01/12/2019,27,23
3D,0,Undiluted,4,01/12/2019,27,24
3E,0,Undiluted,5,01/12/2019,27,25
3F,1,Undiluted,6,01/12/2019,27,26
3G,0,Undiluted,7,01/12/2019,27,27
3H,0,Undiluted,8,01/12/2019,27,28
3I,1,Undiluted,9,01/12/2019,27,29
3J,0,Undiluted,10,01/12/2019,27,30
4A,1,2X Diluted,1,01/12/2019,27,31
4B,0,2X Diluted,2,01/12/2019,27,32
4C,0,2X Diluted,3,01/12/2019,27,33
4D,0,2X Diluted,4,01/12/2019,27,34
4E,0,2X Diluted,5,01/12/2019,27,35
4F,0,2X Diluted,6,01/12/2019,27,36
4G,0,2X Diluted,7,01/12/2019,27,37
4H,0,2X Diluted,8,01/12/2019,27,38
4I,0,2X Diluted,9,01/12/2019,27,39
4J,0,2X Diluted,10,01/12/2019,27,40
1A,4,Control,1,02/12/2019,28,1
1B,2,Control,2,02/12/2019,28,2
1C,4,Control,3,02/12/2019,28,3
1D,5,Control,4,02/12/2019,28,4
1E,2,Control,5,02/12/2019,28,5
1F,5,Control,6,02/12/2019,28,6
1G,2,Control,7,02/12/2019,28,7
1H,1,Control,8,02/12/2019,28,8
1I,2,Control,9,02/12/2019,28,9
1J,4,Control,10,02/12/2019,28,10
2A,1,Sterile,1,02/12/2019,28,11
2B,1,Sterile,2,02/12/2019,28,12
2C,1,Sterile,3,02/12/2019,28,13
2D,1,Sterile,4,02/12/2019,28,14
2E,1,Sterile,5,02/12/2019,28,15
2F,1,Sterile,6,02/12/2019,28,16
2G,2,Sterile,7,02/12/2019,28,17
2H,0,Sterile,8,02/12/2019,28,18
2I,NA,Sterile,9,02/12/2019,28,19
2J,0,Sterile,10,02/12/2019,28,20
3A,NA,Undiluted,1,02/12/2019,28,21
3B,0,Undiluted,2,02/12/2019,28,22
3C,2,Undiluted,3,02/12/2019,28,23
3D,0,Undiluted,4,02/12/2019,28,24
3E,1,Undiluted,5,02/12/2019,28,25
3F,0,Undiluted,6,02/12/2019,28,26
3G,0,Undiluted,7,02/12/2019,28,27
3H,0,Undiluted,8,02/12/2019,28,28
3I,0,Undiluted,9,02/12/2019,28,29
3J,0,Undiluted,10,02/12/2019,28,30
4A,2,2X Diluted,1,02/12/2019,28,31
4B,0,2X Diluted,2,02/12/2019,28,32
4C,9,2X Diluted,3,02/12/2019,28,33
4D,2,2X Diluted,4,02/12/2019,28,34
4E,1,2X Diluted,5,02/12/2019,28,35
4F,0,2X Diluted,6,02/12/2019,28,36
4G,0,2X Diluted,7,02/12/2019,28,37
4H,0,2X Diluted,8,02/12/2019,28,38
4I,0,2X Diluted,9,02/12/2019,28,39
4J,1,2X Diluted,10,02/12/2019,28,40
1A,4,Control,1,03/12/2019,29,1
1B,2,Control,2,03/12/2019,29,2
1C,3,Control,3,03/12/2019,29,3
1D,2,Control,4,03/12/2019,29,4
1E,3,Control,5,03/12/2019,29,5
1F,10,Control,6,03/12/2019,29,6
1G,2,Control,7,03/12/2019,29,7
1H,2,Control,8,03/12/2019,29,8
1I,2,Control,9,03/12/2019,29,9
1J,3,Control,10,03/12/2019,29,10
2A,1,Sterile,1,03/12/2019,29,11
2B,1,Sterile,2,03/12/2019,29,12
2C,0,Sterile,3,03/12/2019,29,13
2D,1,Sterile,4,03/12/2019,29,14
2E,0,Sterile,5,03/12/2019,29,15
2F,0,Sterile,6,03/12/2019,29,16
2G,0,Sterile,7,03/12/2019,29,17
2H,0,Sterile,8,03/12/2019,29,18
2I,NA,Sterile,9,03/12/2019,29,19
2J,0,Sterile,10,03/12/2019,29,20
3A,NA,Undiluted,1,03/12/2019,29,21
3B,0,Undiluted,2,03/12/2019,29,22
3C,1,Undiluted,3,03/12/2019,29,23
3D,0,Undiluted,4,03/12/2019,29,24
3E,2,Undiluted,5,03/12/2019,29,25
3F,1,Undiluted,6,03/12/2019,29,26
3G,0,Undiluted,7,03/12/2019,29,27
3H,0,Undiluted,8,03/12/2019,29,28
3I,0,Undiluted,9,03/12/2019,29,29
3J,0,Undiluted,10,03/12/2019,29,30
4A,2,2X Diluted,1,03/12/2019,29,31
4B,4,2X Diluted,2,03/12/2019,29,32
4C,2,2X Diluted,3,03/12/2019,29,33
4D,0,2X Diluted,4,03/12/2019,29,34
4E,1,2X Diluted,5,03/12/2019,29,35
4F,0,2X Diluted,6,03/12/2019,29,36
4G,0,2X Diluted,7,03/12/2019,29,37
4H,0,2X Diluted,8,03/12/2019,29,38
4I,0,2X Diluted,9,03/12/2019,29,39
4J,1,2X Diluted,10,03/12/2019,29,40
1A,2,Control,1,04/12/2019,30,1
1B,3,Control,2,04/12/2019,30,2
1C,5,Control,3,04/12/2019,30,3
1D,6,Control,4,04/12/2019,30,4
1E,2,Control,5,04/12/2019,30,5
1F,6,Control,6,04/12/2019,30,6
1G,3,Control,7,04/12/2019,30,7
1H,1,Control,8,04/12/2019,30,8
1I,2,Control,9,04/12/2019,30,9
1J,4,Control,10,04/12/2019,30,10
2A,1,Sterile,1,04/12/2019,30,11
2B,1,Sterile,2,04/12/2019,30,12
2C,1,Sterile,3,04/12/2019,30,13
2D,1,Sterile,4,04/12/2019,30,14
2E,1,Sterile,5,04/12/2019,30,15
2F,1,Sterile,6,04/12/2019,30,16
2G,0,Sterile,7,04/12/2019,30,17
2H,2,Sterile,8,04/12/2019,30,18
2I,NA,Sterile,9,04/12/2019,30,19
2J,0,Sterile,10,04/12/2019,30,20
3A,NA,Undiluted,1,04/12/2019,30,21
3B,0,Undiluted,2,04/12/2019,30,22
3C,1,Undiluted,3,04/12/2019,30,23
3D,0,Undiluted,4,04/12/2019,30,24
3E,1,Undiluted,5,04/12/2019,30,25
3F,1,Undiluted,6,04/12/2019,30,26
3G,0,Undiluted,7,04/12/2019,30,27
3H,2,Undiluted,8,04/12/2019,30,28
3I,0,Undiluted,9,04/12/2019,30,29
3J,0,Undiluted,10,04/12/2019,30,30
4A,1,2X Diluted,1,04/12/2019,30,31
4B,1,2X Diluted,2,04/12/2019,30,32
4C,1,2X Diluted,3,04/12/2019,30,33
4D,1,2X Diluted,4,04/12/2019,30,34
