Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
4J,3,2X Diluted,10,07/11/2019,3,40
1A,3,Control,1,08/11/2019,4,1
1B,17,Control,2,08/11/2019,4,2
1C,16,Control,3,08/11/2019,4,3
1D,9,Control,4,08/11/2019,4,4
1E,35,Control,5,08/11/2019,4,5
1F,16,Control,6,08/11/2019,4,6
1G,6,Control,7,08/11/2019,4,7
1H,5,Control,8,08/11/2019,4,8
1I,27,Control,9,08/11/2019,4,9
1J,7,Control,10,08/11/2019,4,10
2A,2,Sterile,1,08/11/2019,4,11
2B,3,Sterile,2,08/11/2019,4,12
2C,2,Sterile,3,08/11/2019,4,13
2D,3,Sterile,4,08/11/2019,4,14
2E,1,Sterile,5,08/11/2019,4,15
2F,1,Sterile,6,08/11/2019,4,16
2G,2,Sterile,7,08/11/2019,4,17
2H,1,Sterile,8,08/11/2019,4,18
2I,2,Sterile,9,08/11/2019,4,19
2J,1,Sterile,10,08/11/2019,4,20
3A,2,Undiluted,1,08/11/2019,4,21
3B,1,Undiluted,2,08/11/2019,4,22
3C,3,Undiluted,3,08/11/2019,4,23
3D,2,Undiluted,4,08/11/2019,4,24
3E,1,Undiluted,5,08/11/2019,4,25
3F,1,Undiluted,6,08/11/2019,4,26
3G,1,Undiluted,7,08/11/2019,4,27
3H,2,Undiluted,8,08/11/2019,4,28
3I,1,Undiluted,9,08/11/2019,4,29
3J,2,Undiluted,10,08/11/2019,4,30
4A,2,2X Diluted,1,08/11/2019,4,31
4B,4,2X Diluted,2,08/11/2019,4,32
4C,2,2X Diluted,3,08/11/2019,4,33
4D,1,2X Diluted,4,08/11/2019,4,34
4E,2,2X Diluted,5,08/11/2019,4,35
4F,3,2X Diluted,6,08/11/2019,4,36
4G,1,2X Diluted,7,08/11/2019,4,37
4H,3,2X Diluted,8,08/11/2019,4,38
4I,3,2X Diluted,9,08/11/2019,4,39
4J,1,2X Diluted,10,08/11/2019,4,40
1A,4,Control,1,09/11/2019,5,1
1B,8,Control,2,09/11/2019,5,2
1C,18,Control,3,09/11/2019,5,3
1D,15,Control,4,09/11/2019,5,4
1E,28,Control,5,09/11/2019,5,5
1F,25,Control,6,09/11/2019,5,6
1G,27,Control,7,09/11/2019,5,7
1H,3,Control,8,09/11/2019,5,8
1I,25,Control,9,09/11/2019,5,9
1J,10,Control,10,09/11/2019,5,10
2A,4,Sterile,1,09/11/2019,5,11
2B,1,Sterile,2,09/11/2019,5,12
2C,2,Sterile,3,09/11/2019,5,13
2D,3,Sterile,4,09/11/2019,5,14
2E,2,Sterile,5,09/11/2019,5,15
2F,1,Sterile,6,09/11/2019,5,16
2G,1,Sterile,7,09/11/2019,5,17
2H,3,Sterile,8,09/11/2019,5,18
2I,1,Sterile,9,09/11/2019,5,19
2J,1,Sterile,10,09/11/2019,5,20
3A,1,Undiluted,1,09/11/2019,5,21
3B,3,Undiluted,2,09/11/2019,5,22
3C,1,Undiluted,3,09/11/2019,5,23
