Code,Weight (g),Treatment,Replicate,Date ,Day,Individual,Status
3C,5.24,Undiluted,3,19/11/1941,14,23,0
3D,5.08,Undiluted,4,19/11/1942,14,24,0
3E,5.245,Undiluted,5,19/11/1943,14,25,0
3F,1.633,Undiluted,6,19/11/1944,14,26,0
3G,2.577,Undiluted,7,19/11/1945,14,27,0
3H,3.292,Undiluted,8,19/11/1946,14,28,0
3I,3.517,Undiluted,9,19/11/1947,14,29,0
3J,3.817,Undiluted,10,19/11/1948,14,30,0
4A,4.187,2X Diluted,1,19/11/1949,14,31,0
4B,4.086,2X Diluted,2,19/11/1950,14,32,0
4C,4.94,2X Diluted,3,19/11/1951,14,33,0
4D,5.218,2X Diluted,4,19/11/1952,14,34,0
4E,4.95,2X Diluted,5,19/11/1953,14,35,0
4F,3.74,2X Diluted,6,19/11/1954,14,36,0
4G,2.19,2X Diluted,7,19/11/1955,14,37,0
4H,4.919,2X Diluted,8,19/11/1956,14,38,0
4I,4.533,2X Diluted,9,19/11/1957,14,39,0
4J,4.171,2X Diluted,10,19/11/1958,14,40,0
1A,5.43,Control,1,26/11/2019,21,1,0
1B,7.036,Control,2,26/11/2020,21,2,0
1C,5.695,Control,3,26/11/2021,21,3,0
1D,5.969,Control,4,26/11/2022,21,4,0
1E,5.857,Control,5,26/11/2023,21,5,0
1F,3.573,Control,6,26/11/2024,21,6,0
1G,4.763,Control,7,26/11/2025,21,7,0
1H,3.285,Control,8,26/11/2026,21,8,0
1I,3.832,Control,9,26/11/2027,21,9,0
1J,3.983,Control,10,26/11/2028,21,10,0
2A,5.299,Sterile,1,26/11/2029,21,11,0
2B,5.305,Sterile,2,26/11/1930,21,12,0
2C,4.883,Sterile,3,26/11/1931,21,13,0
2D,5.138,Sterile,4,26/11/1932,21,14,0
2E,4.723,Sterile,5,26/11/1933,21,15,0
2F,3.135,Sterile,6,26/11/1934,21,16,0
2G,2.947,Sterile,7,26/11/1935,21,17,0
2H,2.974,Sterile,8,26/11/1936,21,18,0
2I,NA,Sterile,9,26/11/1937,21,19,1
2J,2.875,Sterile,10,26/11/1938,21,20,0
3A,NA,Undiluted,1,26/11/1939,21,21,1
3B,5.414,Undiluted,2,26/11/1940,21,22,0
3C,5.208,Undiluted,3,26/11/1941,21,23,0
3D,5.032,Undiluted,4,26/11/1942,21,24,0
3E,5.256,Undiluted,5,26/11/1943,21,25,0
3F,1.692,Undiluted,6,26/11/1944,21,26,0
3G,2.584,Undiluted,7,26/11/1945,21,27,0
3H,3.124,Undiluted,8,26/11/1946,21,28,0
3I,3.388,Undiluted,9,26/11/1947,21,29,0
3J,3.71,Undiluted,10,26/11/1948,21,30,0
4A,4.318,2X Diluted,1,26/11/1949,21,31,0
4B,4.027,2X Diluted,2,26/11/1950,21,32,0
4C,4.886,2X Diluted,3,26/11/1951,21,33,0
4D,5.697,2X Diluted,4,26/11/1952,21,34,0
4E,4.816,2X Diluted,5,26/11/1953,21,35,0
4F,3.606,2X Diluted,6,26/11/1954,21,36,0
4G,2.157,2X Diluted,7,26/11/1955,21,37,0
4H,4.868,2X Diluted,8,26/11/1956,21,38,0
4I,4.401,2X Diluted,9,26/11/1957,21,39,0
4J,4.014,2X Diluted,10,26/11/1958,21,40,0
1A,5.255,Control,1,03/12/2019,28,1,0
1B,6.688,Control,2,03/12/2019,28,2,0
1C,5.728,Control,3,03/12/2019,28,3,0
1D,5.714,Control,4,03/12/2019,28,4,0
1E,5.46,Control,5,03/12/2019,28,5,0
1F,3.63,Control,6,03/12/2019,28,6,0
1G,4.757,Control,7,03/12/2019,28,7,0
1H,3.238,Control,8,03/12/2019,28,8,0
1I,3.87,Control,9,03/12/2019,28,9,0
1J,3.901,Control,10,03/12/2019,28,10,0
2A,5.172,Sterile,1,03/12/2019,28,11,0
2B,5.12,Sterile,2,03/12/2019,28,12,0
2C,4.876,Sterile,3,03/12/2019,28,13,0
2D,5.314,Sterile,4,03/12/2019,28,14,0
2E,4.71,Sterile,5,03/12/2019,28,15,0
2F,3.052,Sterile,6,03/12/2019,28,16,0
2G,3.01,Sterile,7,03/12/2019,28,17,0
2H,3.022,Sterile,8,03/12/2019,28,18,0
2I,NA,Sterile,9,03/12/2019,28,19,1
2J,2.908,Sterile,10,03/12/2019,28,20,0
3A,NA,Undiluted,1,03/12/2019,28,21,1
3B,5.448,Undiluted,2,03/12/2019,28,22,0
3C,5.335,Undiluted,3,03/12/2019,28,23,0
3D,4.994,Undiluted,4,03/12/2019,28,24,0
3E,5.192,Undiluted,5,03/12/2019,28,25,0
3F,1.708,Undiluted,6,03/12/2019,28,26,0
3G,2.602,Undiluted,7,03/12/2019,28,27,0
3H,3.359,Undiluted,8,03/12/2019,28,28,0
3I,3.341,Undiluted,9,03/12/2019,28,29,0
3J,3.919,Undiluted,10,03/12/2019,28,30,0
4A,4.525,2X Diluted,1,03/12/2019,28,31,0
4B,4.022,2X Diluted,2,03/12/2019,28,32,0
4C,4.815,2X Diluted,3,03/12/2019,28,33,0
4D,5.504,2X Diluted,4,03/12/2019,28,34,0
4E,4.769,2X Diluted,5,03/12/2019,28,35,0
4F,3.641,2X Diluted,6,03/12/2019,28,36,0
4G,1.756,2X Diluted,7,03/12/2019,28,37,0
4H,4.842,2X Diluted,8,03/12/2019,28,38,0
4I,4.285,2X Diluted,9,03/12/2019,28,39,0
4J,4.194,2X Diluted,10,03/12/2019,28,40,0
1A,5.316,Control,1,10/12/2019,35,1,0
1B,7.118,Control,2,10/12/2019,35,2,0
1C,5.83,Control,3,10/12/2019,35,3,0
1D,5.659,Control,4,10/12/2019,35,4,0
1E,5.548,Control,5,10/12/2019,35,5,0
1F,4.092,Control,6,10/12/2019,35,6,0
1G,5.07,Control,7,10/12/2019,35,7,0
1H,3.402,Control,8,10/12/2019,35,8,0
1I,3.94,Control,9,10/12/2019,35,9,0
1J,3.899,Control,10,10/12/2019,35,10,0
2A,5.105,Sterile,1,10/12/2019,35,11,0
2B,NA,Sterile,2,10/12/2019,35,12,1
2C,5.021,Sterile,3,10/12/2019,35,13,0
2D,5.374,Sterile,4,10/12/2019,35,14,0
2E,4.704,Sterile,5,10/12/2019,35,15,0
2F,3.121,Sterile,6,10/12/2019,35,16,0
2G,2.967,Sterile,7,10/12/2019,35,17,0
2H,3.061,Sterile,8,10/12/2019,35,18,0
2I,NA,Sterile,9,10/12/2019,35,19,1
2J,2.957,Sterile,10,10/12/2019,35,20,0
3A,NA,Undiluted,1,10/12/2019,35,21,1
3B,5.611,Undiluted,2,10/12/2019,35,22,0
3C,5.283,Undiluted,3,10/12/2019,35,23,0
3D,4.969,Undiluted,4,10/12/2019,35,24,0
3E,5.197,Undiluted,5,10/12/2019,35,25,0
3F,1.704,Undiluted,6,10/12/2019,35,26,0
3G,2.641,Undiluted,7,10/12/2019,35,27,0
3H,3.301,Undiluted,8,10/12/2019,35,28,0
3I,2.608,Undiluted,9,10/12/2019,35,29,0
3J,3.821,Undiluted,10,10/12/2019,35,30,0
4A,4.562,2X Diluted,1,10/12/2019,35,31,0
4B,3.981,2X Diluted,2,10/12/2019,35,32,0
4C,4.759,2X Diluted,3,10/12/2019,35,33,0
4D,5.259,2X Diluted,4,10/12/2019,35,34,0
4E,4.721,2X Diluted,5,10/12/2019,35,35,0
4F,3.815,2X Diluted,6,10/12/2019,35,36,0
4G,1.742,2X Diluted,7,10/12/2019,35,37,0
4H,4.813,2X Diluted,8,10/12/2019,35,38,0
4I,NA,2X Diluted,9,10/12/2019,35,39,1
4J,4.07,2X Diluted,10,10/12/2019,35,40,0
1A,5.632,Control,1,17/12/2019,42,1,0
1B,7.122,Control,2,17/12/2019,42,2,0
1C,5.832,Control,3,17/12/2019,42,3,0
1D,5.912,Control,4,17/12/2019,42,4,0
1E,5.548,Control,5,17/12/2019,42,5,0
1F,4.123,Control,6,17/12/2019,42,6,0
1G,5.071,Control,7,17/12/2019,42,7,0
1H,3.407,Control,8,17/12/2019,42,8,0
1I,3.945,Control,9,17/12/2019,42,9,0
1J,4.101,Control,10,17/12/2019,42,10,0
2A,5.138,Sterile,1,17/12/2019,42,11,0
2B,NA,Sterile,2,17/12/2019,42,12,1
2C,5.014,Sterile,3,17/12/2019,42,13,0
2D,5.365,Sterile,4,17/12/2019,42,14,0
