Code,No. of colonies per pellet,Treatment,Replicate,Date,Day,Individual,Number of Faeces,Total colonies
4G,12100,2X Diluted,7,20/11/19,16,37,1,12100
4H,41700,2X Diluted,8,20/11/19,16,38,1,41700
4I,12950,2X Diluted,9,20/11/19,16,39,1,12950
4J,13400,2X Diluted,10,20/11/19,16,40,2,26800
1A,185600,Control,1,27/11/19,23,1,5,928000
1B,191600,Control,2,27/11/19,23,2,3,574800
1C,226400,Control,3,27/11/19,23,3,3,679200
1D,76000,Control,4,27/11/19,23,4,5,380000
1E,292000,Control,5,27/11/19,23,5,2,584000
1F,234000,Control,6,27/11/19,23,6,5,1170000
1G,192000,Control,7,27/11/19,23,7,3,576000
1H,148400,Control,8,27/11/19,23,8,2,296800
1I,218400,Control,9,27/11/19,23,9,3,655200
1J,142000,Control,10,27/11/19,23,10,6,852000
2A,153200,Sterile,1,27/11/19,23,11,2,306400
2B,125600,Sterile,2,27/11/19,23,12,1,125600
2C,NA,Sterile,3,27/11/19,23,13,NA,NA
2D,92400,Sterile,4,27/11/19,23,14,1,92400
2E,116000,Sterile,5,27/11/19,23,15,1,116000
2F,NA,Sterile,6,27/11/19,23,16,NA,NA
2G,71200,Sterile,7,27/11/19,23,17,1,71200
2H,38800,Sterile,8,27/11/19,23,18,1,38800
2I,NA,Sterile,9,27/11/19,23,19,NA,NA
2J,NA,Sterile,10,27/11/19,23,20,NA,NA
3A,NA,Undiluted,1,27/11/19,23,21,NA,NA
3B,NA,Undiluted,2,27/11/19,23,22,NA,NA
3C,6300,Undiluted,3,27/11/19,23,23,1,6300
3D,26750,Undiluted,4,27/11/19,23,24,1,26750
3E,NA,Undiluted,5,27/11/19,23,25,NA,NA
3F,NA,Undiluted,6,27/11/19,23,26,NA,NA
3G,NA,Undiluted,7,27/11/19,23,27,NA,NA
3H,NA,Undiluted,8,27/11/19,23,28,NA,NA
3I,29200,Undiluted,9,27/11/19,23,29,1,29200
3J,68400,Undiluted,10,27/11/19,23,30,1,68400
4A,70000,2X Diluted,1,27/11/19,23,31,1,70000
4B,60800,2X Diluted,2,27/11/19,23,32,1,60800
4C,30000,2X Diluted,3,27/11/19,23,33,1,30000
4D,10800,2X Diluted,4,27/11/19,23,34,1,10800
4E,NA,2X Diluted,5,27/11/19,23,35,NA,NA
4F,NA,2X Diluted,6,27/11/19,23,36,NA,NA
4G,NA,2X Diluted,7,27/11/19,23,37,NA,NA
4H,NA,2X Diluted,8,27/11/19,23,38,NA,NA
