taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X)
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_M2PB4-65_termite_group_NA,-0.9386916575119181,0.4736816324891357,0.8788302928431285,2.4604827704679426,0.5796603433958003,0.8978536529269383,0.836285157292698,1.000493211674357,-1.6193822265170315,0.5275710923990427,1.0508739575005273,2.459269829877453,0.15649228536614984,0.6167280094201217,0.3337879274892856,0.04916816136013931,0.2663698474317444,0.6949047993466161,0.5934007599809521,0.20702383730584972,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_SC-I-84_NA,-0.25140778054662843,0.46078212917719497,0.028780903772557733,0.28133353827746216,0.673269596913316,0.8066572786040779,0.7641063997237171,0.8904723556670757,-0.3734132384697558,0.5712241634694964,0.0376660943854995,0.3159374196032262,0.7185419620800606,0.5835343460111599,0.9708768632749434,0.7601353241046324,0.8096247460057021,0.6668963954413256,0.9831664438227276,0.8108110123782745,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Chitinophaga,0.7593800088676594,-3.7282450882296927,1.0276351993502006,-0.41590383978768747,0.7062726063992607,1.5320456111842333,1.1067505848338737,1.180105256029963,1.075193915192538,-2.433507893637613,0.928515614477359,-0.3524294444606114,0.3179448108143476,0.0451873304115095,0.38404025106246514,0.7348887577419123,0.43111160788386116,0.10189207902345057,0.6400670851041086,0.7944743326939593,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia-Caballeronia-Paraburkholderia,0.570269551566917,0.24527580726551745,-0.3308033141834254,-2.4302852503090575,0.36058926573110733,1.2490241281918222,0.48288000294992417,0.8108641689380821,1.5814934213603824,0.19637395445722614,-0.6850631878780254,-2.9971545708966145,0.1524216397602659,0.8492142344158518,0.5126605074959696,0.017145883531664314,0.2650811126265494,0.8823005032891965,0.6846423751007896,0.12254103562834742,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_NA_NA,-2.0149621896152157,3.4673257776379214,1.611053021989985,2.2033213346542224,0.3286150879961832,0.6482097452575172,0.7122785273418264,0.9190295449558559,-6.131678864479341,5.349079989935112,2.261830113006947,2.397443419253791,4.7601551300411465e-4,0.0010652577964230252,0.058174154961889504,0.047644787733773813,0.005440177291475596,0.015427848161982966,0.22161582842624572,0.20702383730584972,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Bacteria_Actinobacteriota_Actinobacteria_Streptomycetales_Streptomycetaceae_NA,2.000886970526629,-3.2214004788048984,-2.0079035821174123,-4.231536909782957,0.6324429712403495,0.8793774571955233,0.8105648784253318,0.8602377336434393,3.1637429167763247,-3.663273890461628,-2.4771657834695806,-4.919031965571613,0.01947245229991577,0.010538278994530578,0.04798929173491715,0.0026593901583512195,0.06773026886927225,0.03887769036518307,0.22046374454471637,0.06756172134928012,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Pedosphaerales_Pedosphaeraceae_NA,1.8588244557435585,-3.274803891430372,-2.131495922808503,-2.263732559694652,0.3134360749125004,0.6664962398470973,0.73247898601659,1.0185714461427922,5.930473881356741,-4.913461915676605,-2.909975526260663,-2.2224582951614593,3.495525111276674e-4,0.0011736510547412998,0.01958983737183795,0.05696324663535842,0.005440177291475596,0.015427848161982966,0.14653217444333907,0.22785298654143368,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_NA_NA,0.23056651433228054,0.5911565868269689,-1.2096733355471998,-0.53848385956819,0.21070830317569045,0.6970955402628115,0.6794105468235423,0.7849998194207527,1.0942450338088108,0.848028071739058,-1.780474767727411,-0.6859668578848012,0.30569653327933477,0.42106887804122795,0.11286867999981365,0.512119929353881,0.42165039073011695,0.5433146813435199,0.3472882461532728,0.6607999088437173,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Cellulomonadaceae_NA,-1.0690471259756014,-0.40146333612962376,3.043293058328631,1.626785985232499,0.6450250555899243,1.0237618094559464,0.826999025619153,0.8343804267046246,-1.6573730225066634,-0.3921452552942679,3.6799233905386957,1.9496933690756273,0.14141127873462941,0.7066165823612971,0.00786047500962147,0.09220918611104437,0.25139782886156337,0.7639098187689699,0.08983400010995966,0.30736395370348124,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Rhodanobacteraceae_Fulvimonas,-0.40996032627950896,-1.5200089802523813,2.271064879112417,-0.2971446161495258,0.5316318490410943,1.2769553680626786,0.7522137769030917,0.9920676874502455,-0.7711357530948446,-1.1903383769461335,3.019174799566321,-0.29952050642152206,0.4698949074644825,0.27886957111242416,0.023421987441817872,0.7746476490237933,0.5933023027564167,0.4016185128872592,0.1561465829454525,0.8154185779197825,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
