taxon,W,p_val,q_val,diff_abn,passed_ss
Family:vadinBE97,2.243640613283025,0.3210294735916246,0.3663923339904411,FALSE,TRUE
Family:Oscillospiraceae,1.6290420654673219,0.5161324199278026,0.552999021351217,FALSE,TRUE
Genus:Treponema,13.280130156511799,0.005647340048729204,0.0192582004068233,TRUE,FALSE
Genus:Candidatus_Tammella,2.5917148277719857,0.29609950376983263,0.34558195130087443,FALSE,TRUE
Genus:Anaeromyxobacter,3.5716429723311283,0.1727970184090586,0.22399613497470558,FALSE,TRUE
Genus:Pygmaiobacter,1.944600052853816,0.4475712929467802,0.48953110166054087,FALSE,TRUE
Order:Erysipelotrichales,2.342249323889588,0.34508975129043545,0.3854725945265502,FALSE,TRUE
Class:Alphaproteobacteria,13.794411783154146,0.0031621520628265874,0.014435911591164854,TRUE,FALSE
Genus:Sebaldella,0.783184282854889,0.9280930518800298,0.9370170235327223,FALSE,TRUE
Genus:Diplosphaera,14.82596106897295,0.01273971400265899,0.031108603959981253,TRUE,FALSE
Genus:Nitrosomonas,2.682045846140706,0.25497891311809284,0.3077331710045948,FALSE,TRUE
Genus:Candidatus_Soleaferrea,2.6104519396654684,0.24714970126324312,0.30585869024065143,FALSE,TRUE
Genus:Akkermansia,9.827626149279304,0.009298415816021746,0.025034196427750857,TRUE,FALSE
Genus:Christensenella,3.1222286771039403,0.2520684083156276,0.3077331710045948,FALSE,TRUE
Family:Christensenellaceae,2.607823667479186,0.24759989209957498,0.30585869024065143,FALSE,TRUE
Family:Coriobacteriales_Incertae_Sedis,4.366878463124406,0.11847215555434258,0.16810238288116178,FALSE,TRUE
Family:Desulfosarcinaceae,5.091112501920428,0.08710898224063399,0.1273370080266827,FALSE,TRUE
Genus:Intestinimonas,0.8834063016649305,0.9891780743446987,0.9891780743446987,FALSE,TRUE
Order:Kapabacteriales,11.5053055656988,0.005685754405824022,0.0192582004068233,TRUE,FALSE
Genus:Incertae_Sedis,12.25477482642191,0.011428618390561196,0.02857154597640299,TRUE,FALSE
