ASV	ECN2_D21_13C_10	ECN2_D21_13C_11	ECN2_D21_13C_2	ECN2_D21_13C_3	ECN2_D21_13C_4	ECN2_D21_13C_5	ECN2_D21_13C_6	ECN2_D21_13C_7	ECN2_D21_13C_8	ECN2_D21_13C_9	EP_CON_D14_10	EP_CON_D14_11	EP_CON_D14_2	EP_CON_D14_3	EP_CON_D14_4	EP_CON_D14_5	EP_CON_D14_6	EP_CON_D14_7	EP_CON_D14_8	EP_CON_D14_9	EP_CON_D3_10	EP_CON_D3_11	EP_CON_D3_2	EP_CON_D3_3	EP_CON_D3_4	EP_CON_D3_5	EP_CON_D3_6	EP_CON_D3_7	EP_CON_D3_8	EP_CON_D3_9	EP_CON_D7_10	EP_CON_D7_11	EP_CON_D7_2	EP_CON_D7_3	EP_CON_D7_4	EP_CON_D7_5	EP_CON_D7_6	EP_CON_D7_7	EP_CON_D7_8	EP_CON_D7_9	EP_D14_A_10	EP_D14_A_11	EP_D14_A_2	EP_D14_A_3	EP_D14_A_4	EP_D14_A_5	EP_D14_A_6	EP_D14_A_7	EP_D14_A_8	EP_D14_A_9	EP_D14_B_10	EP_D14_B_11	EP_D14_B_2	EP_D14_B_3	EP_D14_B_4	EP_D14_B_5	EP_D14_B_6	EP_D14_B_7	EP_D14_B_8	EP_D14_B_9	EP_D14_C_1	EP_D14_C_10	EP_D14_C_2	EP_D14_C_3	EP_D14_C_4	EP_D14_C_5	EP_D14_C_6	EP_D14_C_7	EP_D14_C_8	EP_D14_C_9	EP_D21_13C_A_10	EP_D21_13C_A_11	EP_D21_13C_A_2	EP_D21_13C_A_3	EP_D21_13C_A_4	EP_D21_13C_A_5	EP_D21_13C_A_6	EP_D21_13C_A_7	EP_D21_13C_A_8	EP_D21_13C_A_9	EP_D21_13C_B_10	EP_D21_13C_B_11	EP_D21_13C_B_2	EP_D21_13C_B_3	EP_D21_13C_B_4	EP_D21_13C_B_5	EP_D21_13C_B_6	EP_D21_13C_B_7	EP_D21_13C_B_9	EP_D21_13C_C_10	EP_D21_13C_C_11	EP_D21_13C_C_2	EP_D21_13C_C_3	EP_D21_13C_C_4	EP_D21_13C_C_5	EP_D21_13C_C_6	EP_D21_13C_C_7	EP_D21_13C_C_8	EP_D21_13C_C_9	EP_D3_A_10	EP_D3_A_11	EP_D3_A_2	EP_D3_A_3	EP_D3_A_4	EP_D3_A_5	EP_D3_A_6	EP_D3_A_7	EP_D3_A_8	EP_D3_A_9	EP_D3_B_10	EP_D3_B_11	EP_D3_B_2	EP_D3_B_3	EP_D3_B_4	EP_D3_B_5	EP_D3_B_6	EP_D3_B_7	EP_D3_B_8	EP_D3_B_9	EP_D3_C_10	EP_D3_C_11	EP_D3_C_2	EP_D3_C_3	EP_D3_C_4	EP_D3_C_5	EP_D3_C_6	EP_D3_C_7	EP_D3_C_8	EP_D3_C_9	EP_D7_A_10	EP_D7_A_11	EP_D7_A_2	EP_D7_A_3	EP_D7_A_4	EP_D7_A_5	EP_D7_A_6	EP_D7_A_7	EP_D7_A_8	EP_D7_A_9	EP_D7_B_10	EP_D7_B_11	EP_D7_B_2	EP_D7_B_3	EP_D7_B_4	EP_D7_B_5	EP_D7_B_6	EP_D7_B_7	EP_D7_B_8	EP_D7_B_9	EP_D7_C_10	EP_D7_C_11	EP_D7_C_2	EP_D7_C_3	EP_D7_C_4	EP_D7_C_5	EP_D7_C_6	EP_D7_C_7	EP_D7_C_8	EP_D7_C_9	GC_CON_D14_10	GC_CON_D14_11	GC_CON_D14_2	GC_CON_D14_3	GC_CON_D14_4	GC_CON_D14_5	GC_CON_D14_6	GC_CON_D14_7	GC_CON_D14_8	GC_CON_D14_9	GC_CON_D3_10	GC_CON_D3_11	GC_CON_D3_2	GC_CON_D3_3	GC_CON_D3_4	GC_CON_D3_5	GC_CON_D3_6	GC_CON_D3_7	GC_CON_D3_8	GC_CON_D3_9	GC_CON_D7_1	GC_CON_D7_10	GC_CON_D7_2	GC_CON_D7_3	GC_CON_D7_4	GC_CON_D7_5	GC_CON_D7_6	GC_CON_D7_7	GC_CON_D7_8	GC_CON_D7_9	GC_D14_A_10	GC_D14_A_11	GC_D14_A_2	GC_D14_A_3	GC_D14_A_4	GC_D14_A_5	GC_D14_A_6	GC_D14_A_7	GC_D14_A_8	GC_D14_A_9	GC_D14_B_10	GC_D14_B_11	GC_D14_B_2	GC_D14_B_3	GC_D14_B_4	GC_D14_B_5	GC_D14_B_6	GC_D14_B_7	GC_D14_B_8	GC_D14_B_9	GC_D14_C_10	GC_D14_C_11	GC_D14_C_2	GC_D14_C_3	GC_D14_C_4	GC_D14_C_5	GC_D14_C_6	GC_D14_C_7	GC_D14_C_8	GC_D14_C_9	GC_D21_13C_A_10	GC_D21_13C_A_11	GC_D21_13C_A_2	GC_D21_13C_A_3	GC_D21_13C_A_4	GC_D21_13C_A_5	GC_D21_13C_A_6	GC_D21_13C_A_7	GC_D21_13C_A_8	GC_D21_13C_A_9	GC_D21_13C_B_10	GC_D21_13C_B_11	GC_D21_13C_B_2	GC_D21_13C_B_3	GC_D21_13C_B_4	GC_D21_13C_B_5	GC_D21_13C_B_6	GC_D21_13C_B_7	GC_D21_13C_B_8	GC_D21_13C_B_9	GC_D21_13C_C_10	GC_D21_13C_C_11	GC_D21_13C_C_2	GC_D21_13C_C_3	GC_D21_13C_C_4	GC_D21_13C_C_5	GC_D21_13C_C_6	GC_D21_13C_C_7	GC_D21_13C_C_8	GC_D21_13C_C_9	GC_D3_A_10	GC_D3_A_11	GC_D3_A_2	GC_D3_A_3	GC_D3_A_4	GC_D3_A_5	GC_D3_A_6	GC_D3_A_7	GC_D3_A_8	GC_D3_A_9	GC_D3_B_10	GC_D3_B_11	GC_D3_B_2	GC_D3_B_3	GC_D3_B_4	GC_D3_B_5	GC_D3_B_6	GC_D3_B_7	GC_D3_B_8	GC_D3_B_9	GC_D3_C_10	GC_D3_C_11	GC_D3_C_2	GC_D3_C_3	GC_D3_C_4	GC_D3_C_5	GC_D3_C_6	GC_D3_C_7	GC_D3_C_8	GC_D3_C_9	GC_D7_A_10	GC_D7_A_11	GC_D7_A_2	GC_D7_A_3	GC_D7_A_4	GC_D7_A_5	GC_D7_A_6	GC_D7_A_7	GC_D7_A_8	GC_D7_A_9	GC_D7_B_10	GC_D7_B_11	GC_D7_B_2	GC_D7_B_3	GC_D7_B_4	GC_D7_B_5	GC_D7_B_6	GC_D7_B_7	GC_D7_B_8	GC_D7_B_9	GC_D7_C_10	GC_D7_C_11	GC_D7_C_2	GC_D7_C_3	GC_D7_C_4	GC_D7_C_5	GC_D7_C_6	GC_D7_C_7	GC_D7_C_8	GC_D7_C_9	GCN_D21_13C_10	GCN_D21_13C_11	GCN_D21_13C_2	GCN_D21_13C_3	GCN_D21_13C_4	GCN_D21_13C_5	GCN_D21_13C_6	GCN_D21_13C_7	GCN_D21_13C_8	GCN_D21_13C_9
Seq_473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	10	16	17	12	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	172	47	67	100	240	235	294	130	151	9	7	4	0	2	11	13	8	11	10	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	18	18	28	13	17	38	37	37	16	15	0	0	0	0	0	1	2	1	0	2	0	0	0	0	1	0	0	0	0	0	98	93	67	107	149	179	204	100	93	65	0	0	10	0	0	0	0	0	0	0	38	111	13	52	46	78	75	167	74	46	7	7	0	0	11	8	4	13	5	11	78	190	21	26	62	61	94	190	148	76	0	0	1	0	0	0	5	5	6	2	92	56	54	35	38	53	145	247	63	45	0	0	0	0	0	0	0	0	0	0	25	7	18	18	14	44	29	38	29	14
Seq_474	7	0	3	3	6	11	8	5	0	3	0	2	4	0	1	7	12	8	7	7	0	0	0	0	0	0	0	2	0	0	4	2	4	0	4	0	3	5	14	11	126	157	98	233	468	221	338	201	70	219	89	94	246	573	618	456	240	46	47	64	1	3	0	4	11	2	6	0	2	0	0	2	16	9	11	8	8	1	4	3	2	6	4	4	4	3	3	0	0	0	0	5	0	0	0	0	0	0	5	0	4	7	0	3	9	16	12	9	6	3	3	0	0	2	13	1	9	0	7	0	0	0	0	0	0	0	0	0	0	1	4	2	0	38	27	74	10	0	9	5	11	41	193	7	10	364	14	0	14	0	1	0	0	4	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	23	6	8	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	7	7	1	2	0	2	0	0	0	3	8	3	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_475	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	66	36	0	17	37	75	87	88	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	1	4	3	6	9	11	11	7	139	145	60	51	27	104	244	199	240	177	0	3	1	0	1	3	0	2	5	1	2	3	0	0	0	1	1	2	6	2	0	7	0	0	0	2	7	9	4	4	0	1	0	0	0	0	0	1	0	0	122	181	80	129	158	157	217	166	181	132	88	71	17	21	30	55	102	93	142	110	0	0	7	0	0	0	0	0	0	0	28	69	15	20	8	33	81	127	71	44	1	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	48	72	73	48	169	119	194	158	112
Seq_476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	14	21	26	11	7	0	4	5	30	44	183	215	150	97	55	14	16	31	0	25	49	67	66	57	31	6	13	36	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	10	10	5	0	0	0	20	0	0	0	0	0	0	4	11	5	35	142	78	16	12	8	4	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	104	162	195	216	93	87	27	34	43	103	222	345	451	361	297	290	187	186	163	26	24	64	55	32	50	14	7	2	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	3	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	15	16	2	0	1	0	0	0	0	0	5	5	2	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	76	0	9	0	3	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	688	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	77	9	9	28	48	0	0	4	2	12	0	0	2	0	0	0	0	0	0	0	0	0	6	9	2	3	0	0	0	0	0	0	10	34	0	0	0	0	0	0	6	5	0	9	0	1	0	0	0	7	43	118	0	0	0	0	3	0	3	2	0	0	3	0	0	0	0	0	7	4	9	0	31	4	11	0	0	0	3	6	0	13	9	11	373	0	0	0	2	0	0	12	2001	27	5	0	7	0	3	3	0	0	32	8	0	0	0	0	0	0	0	0	26	7	0	0	0	0	0	0	0	65	0	503	7	17	0	0	0	11	1	3	8	0	2	0	0	0	3	0
Seq_478	4	0	3	5	11	6	7	12	6	3	171	109	122	155	165	248	354	245	382	271	15	18	18	10	7	25	17	24	23	18	261	151	194	73	293	306	289	356	613	599	4	0	0	0	6	5	4	5	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	3	14	20	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	6	0	7	2	0	0	0	0	0	0	0	0	0	7	8	0	0	13	8	6	11	12	6	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq_479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	449	192	54	111	397	1242	756	946	1229	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	13	10	39	0	0	0	0	4	7	57	15	7	134	11	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	86	0	68	98	144	197	184	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	102	49	53	47	126	128	208	132	123	87	84	41	35	19	75	133	86	106	66	11	82	25	11	54	79	124	66	92	50	16	21	0	0	0	14	26	31	11	19	34	33	33	14	44	56	62	62	31	38	22	7	0	7	25	23	16	20	10	3	37	48	27	37	29	30	42	41	52	36	67	42	11	16	28	65	73	49	62	70	0	0	40	0	0	0	0	0	0	0	2	0	0	0	0	0	2	5	3	0	4	7	3	3	3	6	9	14	12	8	4	13	0	0	4	8	8	9	14	7	0	0	0	0	0	0	0	0	0	0	3	0	3	6	1	1	8	7	5	10	0	0	0	0	0	0	0	0	0	0	60	32	41	43	23	93	72	103	107	60
Seq_481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	39	0	440	208	98	43	18	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	120	40	62	92	159	101	205	92	109	61	105	39	27	22	89	168	80	104	83	16	122	33	18	84	103	162	90	117	77	0	0	0	0	0	0	0	0	0	0	54	40	61	66	151	121	104	81	41	57	42	61	6	66	142	125	82	65	19	18	26	34	9	0	15	13	10	12	11	12	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	0	0	0	11	4	9	10	7	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	12	25	19	11	27	25	25	41	28
Seq_482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	206	185	257	549	373	425	294	124	301	144	121	98	359	532	604	549	234	106	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	5	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Seq_483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	103	85	0	32	41	98	139	169	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	7	6	17	30	37	45	44	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	163	85	156	176	268	330	239	256	257	105	110	14	50	67	86	92	114	144	88	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	99	85	96	83	179	174	277	313	236
Seq_484	393	404	195	299	707	654	643	656	546	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	2	0	2	0	4	0	13	6	5	5	1	0	1	0	3	4	2	8	10	2	9	13	0	0	0	15	0	3	2	0	0	0	2	14	11	9	12	7	16	39	44	30	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	41	5	20	51	38	81	71	40	30	1	5	4	7	7	30	32	28	18	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	17	6	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1	2	0	0	0	1
Seq_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	186	5	46	285	392	407	213	92	112	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	46	19	11	11	42	98	60	47	58	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	1	15	30	63	58	17	22	77	387	7	23	174	415	804	752	290	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	4	3	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_486	54	62	28	55	134	91	74	76	73	32	23	18	15	22	16	66	119	83	93	63	10	6	0	5	4	6	7	16	10	5	34	31	51	15	41	54	169	152	93	109	42	32	3	3	7	31	94	93	45	64	20	18	0	13	30	105	109	61	35	31	3	22	1	0	13	57	33	27	25	18	19	10	5	3	10	18	6	32	29	19	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	43	40	43	32	15	21	65	175	85	56	82	51	43	20	13	14	101	76	136	107	73	7	9	1	0	0	10	35	18	9	13	0	4	0	1	5	7	19	15	8	9	0	4	0	1	6	27	71	35	8	17	61	41	2	0	58	86	73	109	54	21	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	53	38	0	25	29	34	25	50	46	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
Seq_487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	6	4	4	9	21	22	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5	0	7	6	3	9	5	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	3	0	2	2	0	3	0	5	0	0	0	0	0	0	0	0	0	0	26	83	0	1	5	20	78	102	99	83	0	0	0	0	0	0	0	0	0	0	217	234	14	26	28	91	207	302	114	94	16	15	14	8	20	21	22	23	14	14	40	47	29	94	128	138	87	55	44	24	0	0	0	0	0	0	0	0	0	0	52	157	16	94	61	101	133	221	134	75	52	69	7	15	35	52	103	84	62	51	19	40	6	9	130	36	33	34	43	19	3	4	0	1	0	3	12	10	8	6	19	12	8	6	0	7	17	29	23	11	0	0	0	0	0	0	0	0	0	0	56	42	43	25	35	77	75	107	89	55
Seq_488	0	1	1	0	0	1	0	0	2	0	2	3	3	4	2	5	9	6	9	11	8	9	11	5	2	4	6	9	18	17	11	3	7	4	8	3	10	3	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	0	5	45	69	165	187	138	1	0	2	1	0	0	4	2	0	0	34	35	31	41	32	50	60	97	0	0	0	1	0	1	0	0	0	0	0	2	2	0	10	6	4	3	2	1	5	14	16	5	6	7	23	15	41	63	43	76	73	3	4	7	53	153	143	236	126	0	0	0	0	0	0	1	2	1	0	0	3	0	0	0	0	5	11	13	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	5	3	0	4	0	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	8	0	0	0	0	3	0	0	2	1	0	0	1	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	1	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
