ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_5086	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5087	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Unclassified
Seq_5088	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Unclassified
Seq_5089	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_5090	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Flavimaricola
Seq_5092	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Seq_5097	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_5104	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5105	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5106	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Seq_5107	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Seq_5110	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
Seq_5115	Bacteria	Cyanobacteriota	Vampirivibrionia	Vampirovibrionales	Vampirovibrionaceae	Unclassified
Seq_5124	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Candidatus Symbiothrix
Seq_5125	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio
Seq_5127	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella
Seq_5129	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides
Seq_5130	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	CPla-4 termite group
Seq_5132	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter
Seq_5133	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5134	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
Seq_5135	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Neochlamydia
Seq_5136	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Nakamurellaceae	Nakamurella
Seq_5137	Bacteria	Chloroflexi	Anaerolineae	Caldilineales	Caldilineaceae	Unclassified
Seq_5138	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia
Seq_5140	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified
Seq_5144	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
